"Configure","configurer"
"Close","Fermer"
"Cannot get order information from session","Impossible d'obtenir les informations de commande de la session"
"Order Canceled By customer.","Commande annulée par le client."
"Cannot get payment information from session","Impossible d'obtenir les informations de paiement de la session"
"Error getting token information from session","Erreur lors de l\'obtention des informations de jeton de la session"
"Successfully created Payment Token. customer is Redirected to the payment interface","Jeton de paiement créé avec succès. le client est redirigé vers l'interface de paiement"
"Cannot get payment information from order %s","Impossible d'obtenir les informations de paiement de la commande %s"
"Customer is back from BuyBox payment page.","Le client est revenu de la page de paiement BuyBox."
"Can't get response from API...","Impossible d'obtenir une réponse de l'API..."
"Sandbox","bac à sable"
"Production","Production"
"Authorization","Autorisation"
"Sale","Vente"
"Payment action is not supported. Please contact client service","L'action de paiement n'est pas prise en charge. Veuillez contacter le service client"
"Can't connect to payment API! please try again...","Impossible de se connecter à l\'API de paiement ! Veuillez réessayer..."
"The %1 amount is %2.","Le montant %1 est %2."
"Place Order","Passer la commande"
"General Configuration","Paramétrage général"
"active","active"
"Title","Title"
"Sort Order","Sort Order"
"Environment","Environnement"
"Payment Action","Action de paiement"
"Debug","Debug"
"API Configuration","Configuration de l'API"
"Service Domain","Domaine de service"
"API Username","Nom d'utilisateur de l'API"
"API Password","Mot de passe API"
"API Signature","Signature API"
